2
120
2
5

10.91	24.37	3	5
44.68	20.82	10	2

8.02	16.63	0	123	491	491	8	1
45.94	48.12	0	32	951	951	2	1
36.39	40.9	0	48	661	661	8	1
45.58	47.98	0	75	552	552	2	1
23.67	0.4	0	229	526	526	2	3
1.65	12.6	0	140	826	826	16	2
12.19	16.56	0	184	838	838	1	3
37.47	2.69	0	182	571	571	16	3
15.84	14.93	0	56	838	838	1	2
27.09	18.59	0	47	579	579	16	2
42.09	16.11	0	37	665	665	4	2
30.59	48.35	0	66	868	868	1	3
59.2	58.97	0	58	819	819	2	3
29.76	44.5	0	47	502	502	8	1
37.47	2.69	0	140	781	781	4	3
32.81	8.94	0	35	587	587	2	3
23.04	44.66	0	41	532	532	2	2
59.72	12.15	0	170	526	526	4	3
27.09	18.59	0	118	531	531	1	3
29.76	44.5	0	149	547	547	2	3
37.47	2.69	0	197	809	809	8	1
29.76	44.5	0	59	647	647	16	2
49.72	19.73	0	235	493	493	1	3
7.16	14.39	0	48	620	620	1	1
34.59	8.02	0	152	823	823	4	3
1.38	16.54	0	41	651	651	4	2
29.76	44.5	0	232	574	574	1	3
45.54	10.5	0	53	856	856	2	3
27.09	18.59	0	142	540	540	4	3
32.81	8.94	0	169	886	886	8	2
42.09	16.11	0	226	865	865	8	2
32.81	8.94	0	50	957	957	1	3
23.67	0.4	0	98	573	573	8	3
23.04	44.66	0	40	856	856	8	2
12.19	16.56	0	57	502	502	1	3
30.59	48.35	0	52	849	849	1	1
43.32	19.65	0	207	568	568	2	3
27.09	18.59	0	69	508	508	16	1
30.59	48.35	0	215	514	514	1	3
27.09	18.59	0	233	566	566	2	2
45.58	47.98	0	205	531	531	16	3
1.65	12.6	0	60	806	806	4	2
32.81	8.94	0	50	574	574	4	1
59.67	31.23	0	190	548	548	16	3
33.73	2.31	0	239	486	486	4	1
27.09	18.59	0	139	791	791	1	3
33.73	2.31	0	83	799	799	8	2
57.99	39.23	0	104	784	784	1	2
45.54	10.5	0	43	569	569	1	3
19.62	26.88	0	35	518	518	2	3
29.76	44.5	0	193	493	493	16	3
45.58	47.98	0	119	544	544	1	3
14.1	52.26	0	140	806	806	8	1
33.73	2.31	0	77	832	832	8	1
57.24	35.55	0	59	808	808	16	1
29.76	44.5	0	39	652	652	4	1
57.99	39.23	0	141	496	496	1	3
14.1	52.26	0	238	510	510	8	2
27.09	18.59	0	54	911	911	16	3
49.72	19.73	0	49	833	833	2	3
27.09	18.59	0	203	491	491	16	2
11.91	19.45	0	140	487	487	4	3
45.54	10.5	0	208	490	490	1	1
14.7	48.03	0	235	547	547	2	2
32.81	8.94	0	200	802	802	16	3
45.94	48.12	0	33	561	561	2	3
43.32	19.65	0	151	850	850	2	3
49.72	19.73	0	146	520	520	2	3
36.39	40.9	0	52	599	599	2	3
59.2	58.97	0	56	899	899	16	2
19.62	26.88	0	31	677	677	8	2
57.99	39.23	0	213	812	812	2	2
45.58	47.98	0	53	974	974	1	3
12.19	16.56	0	195	897	897	16	3
15.84	14.93	0	219	799	799	4	3
57.99	39.23	0	235	878	878	1	1
27.09	18.59	0	178	514	514	1	3
7.16	14.39	0	122	874	874	8	2
33.73	2.31	0	54	532	532	4	2
18.68	47.83	0	108	564	564	16	3
33.92	23.75	0	32	533	533	16	1
43.32	19.65	0	184	855	855	16	3
19.62	26.88	0	181	856	856	1	3
28.97	13.38	0	50	794	794	8	1
31.05	42.93	0	37	828	828	1	2
33.73	2.31	0	133	493	493	4	2
59.2	58.97	0	30	992	992	16	2
42.09	16.11	0	223	861	861	8	3
59.72	12.15	0	48	621	621	16	3
8.02	16.63	0	173	813	813	2	1
45.58	47.98	0	52	673	673	1	1
35.75	10.99	0	58	540	540	16	2
53.23	4.83	0	41	894	894	2	2
45.54	10.5	0	55	963	963	8	2
59.67	31.23	0	38	717	717	2	3
37.47	2.69	0	47	661	661	16	3
15.84	14.93	0	55	556	556	8	2
33.92	23.75	0	198	543	543	1	2
43.32	19.65	0	47	556	556	4	3
28.97	13.38	0	41	960	960	2	2
31.05	42.93	0	102	514	514	1	3
10.38	57.0	0	127	837	837	8	3
45.58	47.98	0	39	681	681	2	1
36.39	40.9	0	37	792	792	16	3
36.39	40.9	0	52	816	816	16	3
1.65	12.6	0	222	890	890	2	3
11.91	19.45	0	44	844	844	1	2
23.67	0.4	0	230	814	814	2	1
14.7	48.03	1	117	420	1200	30	2
53.23	4.83	1	42	420	1200	3	1
15.84	14.93	1	36	420	1200	8	1
32.81	8.94	1	99	420	1200	4	1
23.04	44.66	1	51	420	1200	24	1
15.84	14.93	1	60	420	1200	14	3
7.16	14.39	1	45	420	1200	31	1
46.91	19.37	1	41	420	1200	6	3
35.75	10.99	1	56	420	1200	30	1
29.76	44.5	1	37	420	1200	15	3
1.65	12.6	1	94	420	1200	15	1
32.81	8.94	1	90	420	1200	31	1
